Activity_Period,Operating_Airline,Operating_Airline_IATA_Code,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_Aircraft_Type,Aircraft_Body_Type,Aircraft_Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight
7/1/05,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,30,40,4066000
7/1/05,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,1,102000
7/1/05,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,B757,200,2,396000
7/1/05,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,B757,300,167,37408000
7/1/05,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B767,333,1,320000
7/1/05,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,160,21520000
7/1/05,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,146,20761200
7/1/05,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,2,343040
7/1/05,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B747,400,23,14490000
7/1/05,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B747,400,31,18855500
7/1/05,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B747,400,14,8820000
7/1/05,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,B737,700,62,7936000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,400,274,33154000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,B737,400,33,3993000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B737,400,85,10285000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,700,34,4392800
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,B737,700,27,3488400
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,800,1,144000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,B737,800,1,144000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B737,900,4,585200
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,McDonnell Douglas,MD-80,93,7,910000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,-,60,7800000
7/1/05,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,McDonnell Douglas,MD-80,-,31,4030000
7/1/05,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B777,200ER,31,14260000
7/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B757,-,217,42966000
7/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B767,200,87,23490000
7/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B767,300,155,48050000
7/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,290,37700000
7/1/05,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,400,52000000
7/1/05,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,152,6277600
7/1/05,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Regional Jet,LearJet,35A,-,1,15300
7/1/05,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AC,22,308000
7/1/05,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,AT,8,124000
7/1/05,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B747,400,4,2664000
7/1/05,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,B777,200ER,17,7820000
7/1/05,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,-,21,6203820
7/1/05,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-8,73,20,5500000
7/1/05,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Turbo Prop,Swearingen,SA-227,L,21,279720
7/1/05,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,23,1541000
7/1/05,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Passenger,Wide Body,Boeing,B767,300,4,1400000
7/1/05,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B747,400,62,39060000
7/1/05,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Freighter,Wide Body,Boeing,B747,400,9,5994000
7/1/05,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,B747,400,17,11322000
7/1/05,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B747,400,31,19530000
7/1/05,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,B747,400,39,24570000
7/1/05,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B747,-,27,17982000
7/1/05,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,-,13,6129500
7/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B737,800,190,27360000
7/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B757,-,172,34056000
7/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,200,45,12150000
7/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,300,59,17405000
7/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,300ER,24,7680000
7/1/05,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B767,400,62,21700000
7/1/05,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,B747,400,57,35853000
7/1/05,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,McDonnell Douglas,MD-11,-,4,1884000
7/1/05,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Freighter,Wide Body,Boeing,B747,100,1,585000
7/1/05,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,46,17250000
7/1/05,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,30,1,436000
7/1/05,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,-,20,9630000
7/1/05,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,-,28,3458000
7/1/05,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,147,19771500
7/1/05,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,B767,300,31,9920000
7/1/05,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,93,6231000
7/1/05,Icelandair,FI,Icelandair,FI,International,Europe,Passenger,Wide Body,Boeing,B767,300ER,17,5440000
7/1/05,Independence Air,DH,Independence Air,DH,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,93,12815400
7/1/05,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,B747,200,50,31500000
7/1/05,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B747,400,31,19530000
7/1/05,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B777,200,31,14570000
7/1/05,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,B747,200,9,5670000
7/1/05,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,B727,200,11,1754000
7/1/05,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,B737,300,14,1632400
7/1/05,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B747,400,8,5224000
7/1/05,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B747,-,19,12388000
7/1/05,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B777,200,22,10120000
7/1/05,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,B747,430,31,19530000
